127.0.0.1 - - [31/Dec/2022:05:28:50 +0000] "GET /solr/admin/info/system?wt=json HTTP/1.1" 200 4115
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/ HTTP/1.1" 200 3265
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/angular-csp.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/chosen.jquery.min.js?_=9.0.0 HTTP/1.1" 200 7412
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/jquery-3.5.1.min.js?_=9.0.0 HTTP/1.1" 200 31672
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/common.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/analysis.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/security.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/schema-designer.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/cloud.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/cores.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/collections.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/dashboard.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/files.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/index.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/java-properties.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/login.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/logging.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/plugins.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/menu.css?_=9.0.0 HTTP/1.1" 304 0
